latitude,longitude,distances,ind,fotograma,section,classes,ind2,scores,boxes,class_id,area,center,height,width,total_area,fail_id_section,class_id_readable
,,,0,0,,Piel de cocodrilo,0,0.4723771810531616,"[0.30807918310165405, 0.7067233324050903, 0.3773806691169739, 0.932147204875946]",D20,3599.35703321662,"(524.4385719299316, 123.38277339935303)",81.15259408950806,44.35295104980469,230400,0,Piel de cocodrilo
,,,1,4,,Piel de cocodrilo,1,0.21542231738567352,"[0.26921921968460083, 0.6406624913215637, 0.40370291471481323, 0.8916795253753662]",D20,7777.7736779704355,"(490.3494453430176, 121.12598419189453)",90.3661322593689,86.06956481933594,230400,1,Piel de cocodrilo
,,,2,8,,Piel de cocodrilo,2,0.3887976408004761,"[0.4089900851249695, 0.6398859024047852, 0.5841180682182312, 0.9183341264724731]",D20,11235.243082031957,"(498.63040924072266, 178.75946760177612)",100.24136066436768,112.0819091796875,230400,2,Piel de cocodrilo
,,,3,11,,Desenfoque de linea blanca,3,0.33299878239631653,"[0.07608207315206528, 0.566491425037384, 0.3363305628299713, 0.9436251521110535]",D44,22613.41045498109,"(483.2373046875, 74.23427447676659)",135.768141746521,166.55903339385986,230400,39,Desenfoque de linea blanca
,,,4,12,,Piel de cocodrilo,5,0.41808709502220154,"[0.16742496192455292, 0.6934331059455872, 0.6172151565551758, 0.9159647822380066]",D20,23061.327204337023,"(515.00732421875, 141.23522132635117)",80.111403465271,287.86572456359863,230400,3,Piel de cocodrilo
,,,4,12,,Desenfoque de linea blanca,4,0.5502331256866455,"[0.002292728517204523, 0.5834077000617981, 0.2546817660331726, 0.9423313736915588]",D44,20871.56748190712,"(488.2365036010742, 46.25540901906788)",129.21252250671387,161.52898401021957,230400,39,Desenfoque de linea blanca
,,,5,13,,Desenfoque de linea blanca,6,0.5516740083694458,"[0.00011529922630870715, 0.6414197683334351, 0.12447307258844376, 0.9458200931549072]",D44,8721.687537909256,"(507.91675567626953, 22.425906926655443)",109.58411693572998,79.58897495176643,230400,39,Desenfoque de linea blanca
,,,6,14,,Grieta Vertical,7,0.34856724739074707,"[0.40108785033226013, 0.5929300785064697, 0.6387577056884766, 0.7921535968780518]",D00,10909.30747275197,"(443.2267761230469, 187.1722000837326)",71.72046661376953,152.10870742797852,230400,181,Grieta Vertical
,,,7,15,,Grieta Vertical,8,0.3035960793495178,"[0.4099552035331726, 0.6087014675140381, 0.730219841003418, 0.9281150698661804]",D00,23569.201511510164,"(491.7812919616699, 205.2315080165863)",114.98889684677124,204.96936798095703,230400,181,Grieta Vertical
,,,8,16,,Piel de cocodrilo,9,0.3788663148880005,"[0.2819673717021942, 0.6149131655693054, 0.7894889712333679, 0.9331374168395996]",D20,37210.90890569699,"(495.3761863708496, 192.86214172840118)",114.56073045730591,324.8138236999512,230400,4,Piel de cocodrilo
,,,9,17,,Piel de cocodrilo,10,0.36871203780174255,"[0.23839397728443146, 0.6195091009140015, 0.818403422832489, 0.9261687397956848]",D20,40980.208232386416,"(494.6169090270996, 190.22353202104568)",110.397469997406,371.20604515075684,230400,4,Piel de cocodrilo
,,,10,18,,Piel de cocodrilo,11,0.24123601615428925,"[0.1354273110628128, 0.6468825936317444, 0.8393213152885437, 0.9295052289962769]",D20,45834.94160445759,"(504.4441032409668, 175.45475274324417)",101.74414873123169,450.4921627044678,230400,4,Piel de cocodrilo
,,,11,19,,Grieta e Intervalo Lineal Transversal,12,0.34452974796295166,"[0.619299054145813, 0.6516926884651184, 0.8334599733352661, 0.7282938361167908]",D10,3779.7055930481292,"(441.59568786621094, 261.49662494659424)",27.57641315460205,137.06298828125,230400,338,Grieta e Intervalo Lineal Transversal
,,,12,20,,Piel de cocodrilo,13,0.24232250452041626,"[0.40555351972579956, 0.6657785773277283, 0.8575347065925598, 0.9216746091842651]",D20,26648.108281269924,"(507.9850196838379, 227.3558807373047)",92.12257146835327,289.26795959472656,230400,5,Piel de cocodrilo
,,,13,21,,Piel de cocodrilo,14,0.27687808871269226,"[0.43639564514160156, 0.6685699820518494, 0.8665782809257507, 0.9238718748092651]",D20,25304.012040284306,"(509.58139419555664, 234.5353066921234)",91.90868139266968,275.31688690185547,230400,5,Piel de cocodrilo
,,,14,23,,Grieta Vertical,15,0.2799839377403259,"[0.6234257817268372, 0.7367169857025146, 0.782355785369873, 0.8915185928344727]",D00,5668.443644643048,"(521.0353851318359, 253.04068207740784)",55.72857856750488,101.71520233154297,230400,182,Grieta Vertical
,,,15,26,,Grieta e Intervalo Lineal Transversal,16,0.41623497009277344,"[0.5323177576065063, 0.7186688184738159, 0.8419591784477234, 0.8169055581092834]",D10,7008.3449025488335,"(491.3838005065918, 247.36984848976135)",35.36522626876831,198.1705093383789,230400,339,Grieta e Intervalo Lineal Transversal
,,,16,28,,Grieta e Intervalo Lineal Transversal,17,0.3291202783584595,"[0.4991079270839691, 0.752117931842804, 0.796900749206543, 0.8434746861457825]",D10,6268.120861557327,"(510.58963775634766, 233.28156173229218)",32.888431549072266,190.58740615844727,230400,340,Grieta e Intervalo Lineal Transversal
,,,17,29,,Grieta e Intervalo Lineal Transversal,18,0.4187825322151184,"[0.5017408132553101, 0.7549733519554138, 0.8007150888442993, 0.8473239541053772]",D10,6361.448688689416,"(512.7351379394531, 234.4420623779297)",33.246216773986816,191.34353637695312,230400,340,Grieta e Intervalo Lineal Transversal
,,,18,30,,Grieta e Intervalo Lineal Transversal,19,0.41016092896461487,"[0.49648961424827576, 0.7547750473022461, 0.7998974919319153, 0.8464283347129822]",D10,6407.039097451025,"(512.385082244873, 233.3496791124344)",32.99518346786499,194.1810417175293,230400,340,Grieta e Intervalo Lineal Transversal
,,,19,31,,Grieta e Intervalo Lineal Transversal,20,0.47833964228630066,"[0.4966541826725006, 0.7558383345603943, 0.7893000245094299, 0.8434070348739624]",D10,5904.372331429613,"(511.75851821899414, 231.4717572927475)",31.52473211288452,187.29333877563477,230400,340,Grieta e Intervalo Lineal Transversal
,,,20,32,,Grieta e Intervalo Lineal Transversal,21,0.5137408971786499,"[0.49680987000465393, 0.7552155256271362, 0.7922531366348267, 0.8452624082565308]",D10,6129.502883456735,"(512.1529388427734, 232.0313411951065)",32.41687774658203,189.08369064331055,230400,340,Grieta e Intervalo Lineal Transversal
,,,21,33,,Grieta e Intervalo Lineal Transversal,22,0.4657449722290039,"[0.4942617416381836, 0.7557200193405151, 0.7953294515609741, 0.8432093262672424]",D10,6068.783296318907,"(511.6573905944824, 232.1264147758484)",31.496150493621826,192.68333435058594,230400,340,Grieta e Intervalo Lineal Transversal
,,,22,34,,Grieta e Intervalo Lineal Transversal,23,0.46485310792922974,"[0.4971580505371094, 0.7568593621253967, 0.7929019927978516, 0.8432783484458923]",D10,5888.53824781836,"(512.0440673828125, 232.21080780029297)",31.110835075378418,189.276123046875,230400,340,Grieta e Intervalo Lineal Transversal
,,,23,35,,Grieta e Intervalo Lineal Transversal,24,0.4887036681175232,"[0.4969319701194763, 0.7563266158103943, 0.7966216802597046, 0.8445109128952026]",D10,6088.994249994084,"(512.268009185791, 232.83965706825256)",31.746346950531006,191.8014144897461,230400,340,Grieta e Intervalo Lineal Transversal
